#,Story (Day/Story),Narrator,Locations
86,"Day 09, 7",Pampinea,Florence
28,"Day 03, 9",Neifile,Roussillon
31,"Day 04, 2",Pampinea,Venice
32,"Day 04, 3",Lauretta,Marseilles
33,"Day 04, 4",Elissa,Tunisia
33,"Day 04, 4",Elissa,Granada
33,"Day 04, 4",Elissa,Ustica
33,"Day 04, 4",Elissa,Trapani
88,"Day 09, 9",Emilia,Ayas
34,"Day 04, 5",Filomena,Naples
89,"Day 09, 10",Dioneo,Barletta
38,"Day 04, 9",Filostrato,Provence
90,"Day 10, 1",Neifile,Florence
40,"Day 05, 1",Panfilo,Rhodes
91,"Day 10, 2",Elissa,Siena
93,"Day 10, 4",Lauretta,Bologna
94,"Day 10, 5",Emilia,Udine
95,"Day 10, 6",Fiammetta,Castellammare di Stabia
96,"Day 10, 7",Pampinea,Palermo
9,"Day 01, 10",Pampinea,Bologna
97,"Day 10, 8",Filomena,Rome
13,"Day 02, 4",Lauretta,Amalfi Coast
16,"Day 02, 7",Panfilo,Alexandria
17,"Day 02, 8",Elissa,Paris
40,"Day 05, 1",Panfilo,Cyprus
41,"Day 05, 2",Emilia,Susa (Sousse)
41,"Day 05, 2",Emilia,Tunis
0,"Day 01, 1",Panfilo,Prato
46,"Day 05, 7",Lauretta,Ayas
47,"Day 05, 8",Filomena,ancient port of Ravenna
79,"Day 08, 10",Dioneo,Naples
3,"Day 01, 4",Dioneo,Lunigiana
4,"Day 01, 5",Fiammetta,Genoa
97,"Day 10, 8",Filomena,Athens
5,"Day 01, 6",Emilia,Florence
98,"Day 10, 9",Panfilo,Alexandria
6,"Day 01, 7",Filostrato,Scala
98,"Day 10, 9",Panfilo,Digne
7,"Day 01, 8",Lauretta,Genoa
18,"Day 02, 9",Filomena,Alexandria
19,"Day 02, 10",Dioneo,Monaco
20,"Day 03, 1",Filostrato,Lamporecchio
21,"Day 03, 2",Pampinea,Pavia
22,"Day 03, 3",Filomena,Florence
23,"Day 03, 4",Panfilo,Florence
24,"Day 03, 5",Elissa,Pistoia
25,"Day 03, 6",Fiammetta,Naples
26,"Day 03, 7",Emilia,Florence
27,"Day 03, 8",Lauretta,Tuscany
6,"Day 01, 7",Filostrato,�Cluny
6,"Day 01, 7",Filostrato,�Paris
6,"Day 01, 7",Filostrato,�Verona
12,"Day 02, 3",Pampinea,�Rome
12,"Day 02, 3",Pampinea,�Paris
12,"Day 02, 3",Pampinea,�Cornwall
13,"Day 02, 4",Lauretta,�Ravello
13,"Day 02, 4",Lauretta,�Cyprus
28,"Day 03, 9",Neifile,Florence
29,"Day 03, 10",Dioneo,Gafsa
30,"Day 04, 1",Fiammetta,Salerno
31,"Day 04, 2",Pampinea,Imola
32,"Day 04, 3",Lauretta,Crete
33,"Day 04, 4",Elissa,Sicily
34,"Day 04, 5",Filomena,Messina
35,"Day 04, 6",Panfilo,Brescia
36,"Day 04, 7",Emilia,Florence
13,"Day 02, 4",Lauretta,�Aegean Sea
13,"Day 02, 4",Lauretta,�Cephalonia
13,"Day 02, 4",Lauretta,�Corfu
16,"Day 02, 7",Panfilo,�Sardinia
38,"Day 04, 9",Filostrato,Roussillon
39,"Day 04, 10",Dioneo,Provence
40,"Day 05, 1",Panfilo,Crete
41,"Day 05, 2",Emilia,Lipari Islands
42,"Day 05, 3",Elissa,Rome
43,"Day 05, 4",Filostrato,Romagna
44,"Day 05, 5",Neifile,Fano
45,"Day 05, 6",Pampinea,Ischia
46,"Day 05, 7",Lauretta,Sicily
47,"Day 05, 8",Filomena,Ravenna
16,"Day 02, 7",Panfilo,�Majorca
16,"Day 02, 7",Panfilo,�Corinth
16,"Day 02, 7",Panfilo,�Athens
16,"Day 02, 7",Panfilo,�Chios
16,"Day 02, 7",Panfilo,�Rhodes
16,"Day 02, 7",Panfilo,�Paphos
16,"Day 02, 7",Panfilo,�Aigues-Mortes
16,"Day 02, 7",Panfilo,�Crete
16,"Day 02, 7",Panfilo,�Cyprus
48,"Day 05, 9",Fiammetta,Florence
49,"Day 05, 10",Dioneo,Perugia
50,"Day 06, 1",Filomena,Florence
51,"Day 06, 2",Pampinea,Florence
52,"Day 06, 3",Lauretta,Florence
53,"Day 06, 4",Neifile,Peretola
54,"Day 06, 5",Panfilo,Mugello
55,"Day 06, 6",Fiammetta,Montughi
56,"Day 06, 7",Filostrato,Prato
42,"Day 05, 3",Elissa,�Anagni
44,"Day 05, 5",Neifile,�Faenza
45,"Day 05, 6",Pampinea,�Procida
45,"Day 05, 6",Pampinea,�Scalea
47,"Day 05, 8",Filomena,�Classe
70,"Day 08, 1",Neifile,�Genoa
78,"Day 08, 9",Lauretta,�Bologna
83,"Day 09, 4",Neifile,�Marche
83,"Day 09, 4",Neifile,�Buonconvento
58,"Day 06, 9",Elissa,Florence
59,"Day 06, 10",Dioneo,Certaldo
60,"Day 07, 1",Emilia,Certaldo
61,"Day 07, 2",Filostrato,Naples
62,"Day 07, 3",Elissa,Siena
63,"Day 07, 4",Lauretta,Arezzo
64,"Day 07, 5",Fiammetta,Rimini
65,"Day 07, 6",Pampinea,Florence
66,"Day 07, 7",Filomena,Bologna
67,"Day 07, 8",Neifile,Florence
84,"Day 09, 5",Fiammetta,�Florence
85,"Day 09, 6",Panfilo,�Mugnone�(it)
88,"Day 09, 9",Emilia,�Jerusalem
89,"Day 09, 10",Dioneo,�Apulia
89,"Day 09, 10",Dioneo,�Bitonto
90,"Day 10, 1",Neifile,�Spain
69,"Day 07, 10",Dioneo,Siena
70,"Day 08, 1",Neifile,Milan
71,"Day 08, 2",Panfilo,Varlungo
72,"Day 08, 3",Elissa,Florence (Mugnone Valley)
73,"Day 08, 4",Emilia,Fiesole
74,"Day 08, 5",Filostrato,Florence
75,"Day 08, 6",Filomena,Florence
76,"Day 08, 7",Pampinea,Florence
77,"Day 08, 8",Fiammetta,Siena
98,"Day 10, 9",Panfilo,Pavia
99,"Day 10, 10",Dioneo,Saluzzo
8,"Day 01, 9",Elissa,Cyprus
11,"Day 02, 2",Filostrato,Castelguglielmo
17,"Day 02, 8",Elissa,London
18,"Day 02, 9",Filomena,Paris
78,"Day 08, 9",Lauretta,Florence
18,"Day 02, 9",Filomena,Genoa
79,"Day 08, 10",Dioneo,Palermo
19,"Day 02, 10",Dioneo,Pisa
80,"Day 09, 1",Filomena,Pistoia
28,"Day 03, 9",Neifile,Narbonne
81,"Day 09, 2",Elissa,Lombardy
82,"Day 09, 3",Filostrato,Florence
83,"Day 09, 4",Neifile,Siena
85,"Day 09, 6",Panfilo,Florence
57,"Day 06, 8",,Florence
8,"Day 01, 9",Elissa,La Gascogne (France)
37,"Day 04, 8",Neifile,Paris
92,"Day 10, 3",Filostrato,China
68,"Day 07, 9",Panfilo,Argos (Greece)
45,"Day 05, 6",Pampinea,Minerva (Italy)
84,"Day 09, 5",Fiammetta,Camerata (Italy)
87,"Day 09, 8",Lauretta,Florence
100,"0, intro",-,Basilica di Santa Maria Novella
100,"0, intro",-,Hotel Miverva (Florence)
100,"0, intro",-,Ospedale Santa Maria Nuova
2,"Day 01, 3",Filomena,Alexandria
2,"Day 01, 3",Filomena,Babylon
1,"Day 01, 1",Panfilo,Paris
1,"Day 01, 2",Neifile,Rome
1,"Day 01, 2",Neifile,Paris
10,"Day 02, 1",Neifile,Treviso
10,"Day 02, 1",Neifile,Florence
11,"Day 02, 2",Filostrato,Bologna
12,"Day 02, 3",Pampinea,�Bruges
12,"Day 02, 3",Pampinea,London
12,"Day 02, 3",Pampinea,Scotland
12,"Day 02, 3",Pampinea,Florence
15,"Day 02, 6",Emilia,Naples
15,"Day 02, 6",Emilia,�Genoa
15,"Day 02, 6",Emilia,�Ponza
15,"Day 02, 6",Emilia,�Magra River
14,"Day 02, 5",Fiammetta,Perugia
14,"Day 02, 5",Fiammetta,�Palermo
13,"Day 02, 4",Lauretta,�Brindisi
14,"Day 02, 5",Fiammetta,�Naples
14,"Day 02, 5",Fiammetta,Sicilia
16,"Day 02, 7",Panfilo,Baffa
12,"Day 02, 3",Pampinea,Toscana
14,"Day 02, 5",Fiammetta,Malpertugio
16,"Day 02, 7",Panfilo,Armenia
1,"Day 01, 1",Panfilo,Cathedrale Notre-Dame de Paris
8,"Day 01, 9",Elissa,Jerusalem
11,"Day 02, 2",Filostrato,Verona
30,"Day 04, intro",-,Florence
